scene,image_name,psnr,ssim,lpips
hcm0031,DJI_20241227155343_0023_V.JPG,23.501715309679,0.8015227317810059,0.1209488958120346
hcm0031,DJI_20241227155809_0220_V.JPG,24.098985525919186,0.8018684387207031,0.11258982121944427
hcm0031,DJI_20241227155927_0264_V.JPG,26.01558182815591,0.8369646668434143,0.10639095306396484
hcm0031,DJI_20241227155339_0019_V.JPG,23.04413360246619,0.7840691208839417,0.120830237865448
hcm0031,DJI_20241227155556_0124_V.JPG,22.21284362657071,0.6987941861152649,0.17944954335689545
hcm0031,DJI_20241227160031_0313_V.JPG,24.75480268469506,0.8093051910400391,0.09720934182405472
hcm0031,DJI_20241227155810_0221_V.JPG,23.22696301539859,0.7948595881462097,0.11901847273111343
hcm0031,DJI_20241227155946_0279_V.JPG,23.86639046501501,0.7957260012626648,0.11530835181474686
hcm0031,DJI_20241227160048_0325_V.JPG,23.757867076085038,0.7883625030517578,0.1087498813867569
hcm0031,DJI_20241227155557_0125_V.JPG,22.028293684644222,0.6956777572631836,0.16961708664894104
hcm0031,DJI_20241227155930_0267_V.JPG,24.469088961116075,0.8046019673347473,0.11828023195266724
hcm0031,DJI_20241227155326_0006_V.JPG,22.477818700756423,0.7848101258277893,0.11971975862979889
hcm0031,DJI_20241227155433_0061_V.JPG,19.94303844714615,0.6173336505889893,0.20183007419109344
hcm0031,DJI_20241227155906_0247_V.JPG,23.687338401396097,0.7869059443473816,0.12062982469797134
hcm0031,DJI_20241227155754_0205_V.JPG,23.367967024604432,0.8003959655761719,0.11698178946971893
hcm0031,DJI_20241227155850_0237_V.JPG,24.164781098283278,0.7973386645317078,0.10827846825122833
hcm0031,DJI_20241227155730_0189_V.JPG,25.906758585282073,0.8396310210227966,0.08710356056690216
hcm0031,DJI_20241227155546_0114_V.JPG,21.001968831830574,0.6692751049995422,0.20572251081466675
hcm0031,DJI_20241227155740_0199_V.JPG,25.623987529132847,0.8606254458427429,0.09228503704071045
hcm0031,DJI_20241227155345_0025_V.JPG,23.724825621819974,0.7822210192680359,0.11350029706954956
hcm0031,DJI_20241227160006_0293_V.JPG,24.618287133454174,0.8128617405891418,0.10664882510900497
hcm0031,DJI_20241227160044_0321_V.JPG,23.26431522518258,0.7856752872467041,0.11657942831516266
hcm0031,DJI_20241227155353_0033_V.JPG,22.665708326932588,0.7542358040809631,0.12216361612081528
hcm0031,DJI_20241227155533_0101_V.JPG,24.425002516577617,0.8263270854949951,0.13081029057502747
hcm0031,DJI_20241227155915_0256_V.JPG,23.890210271049607,0.7752180099487305,0.1173100695014
hcm0031,DJI_20241227155948_0281_V.JPG,24.74657306572098,0.8263819813728333,0.10973213613033295
hcm0031,DJI_20241227155847_0234_V.JPG,24.029161085462114,0.7777139544487,0.10758624970912933
hcm0031,DJI_20241227155715_0174_V.JPG,24.697362968308752,0.8238060474395752,0.09987822920084
hcm0031,DJI_20241227155543_0111_V.JPG,22.354591997637133,0.7362146377563477,0.16291193664073944
hcm0031,DJI_20241227155547_0115_V.JPG,21.806019375581275,0.701065719127655,0.1959771066904068
hcm0031,DJI_20241227155416_0044_V.JPG,21.50132554229896,0.6688084602355957,0.1918201446533203
hcm0031,DJI_20241227155431_0059_V.JPG,19.2144039117591,0.6165358424186707,0.19860318303108215
hcm0031,DJI_20241227155438_0066_V.JPG,22.543591593100167,0.7406678795814514,0.1740589141845703
hcm0031,DJI_20241227155741_0200_V.JPG,26.433705434278956,0.8604004979133606,0.09314636886119843
hcm0031,DJI_20241227155849_0236_V.JPG,23.85344446416167,0.7802150249481201,0.11880480498075485
hcm0031,DJI_20241227155417_0045_V.JPG,21.718751883571123,0.6734957695007324,0.19031642377376556
hcm0031,DJI_20241227160018_0304_V.JPG,25.082955920761556,0.8096135258674622,0.1030522957444191
hcm0031,DJI_20241227155912_0253_V.JPG,25.20777735300259,0.7994295954704285,0.09003501385450363
hcm0031,DJI_20241227155954_0287_V.JPG,24.904482544792078,0.8096010088920593,0.10092110931873322
hcm0031,DJI_20241227155352_0032_V.JPG,22.810318340909117,0.7532200217247009,0.12321563810110092
hcm0031,DJI_20241227155413_0041_V.JPG,21.2997492265554,0.6397482752799988,0.20432686805725098
