scene,image_name,psnr,ssim,lpips
hcm0031,DJI_20241227155343_0023_V.JPG,11.571627966803518,0.1561295986175537,0.5151732563972473
hcm0031,DJI_20241227155809_0220_V.JPG,9.613547507079694,0.11348510533571243,0.6411100029945374
hcm0031,DJI_20241227155927_0264_V.JPG,10.587286650982833,0.12350472062826157,0.6222327351570129
hcm0031,DJI_20241227155339_0019_V.JPG,11.798246563484128,0.1474553346633911,0.4829199016094208
hcm0031,DJI_20241227155556_0124_V.JPG,10.902327060966712,0.1226111650466919,0.6236456632614136
hcm0031,DJI_20241227160031_0313_V.JPG,11.12300613698224,0.10702420026063919,0.5289363265037537
hcm0031,DJI_20241227155810_0221_V.JPG,9.625702349136574,0.10909011960029602,0.6458652019500732
hcm0031,DJI_20241227155946_0279_V.JPG,12.139839735843701,0.12226691097021103,0.4413740634918213
hcm0031,DJI_20241227160048_0325_V.JPG,11.749086242510387,0.12482006102800369,0.4748213589191437
hcm0031,DJI_20241227155557_0125_V.JPG,10.694600262564919,0.11745787411928177,0.6167569756507874
hcm0031,DJI_20241227155930_0267_V.JPG,11.917673283834738,0.14155428111553192,0.4891115427017212
hcm0031,DJI_20241227155326_0006_V.JPG,10.425475956317577,0.1384567767381668,0.605629563331604
hcm0031,DJI_20241227155433_0061_V.JPG,10.14109622683715,0.1114213839173317,0.6197139620780945
hcm0031,DJI_20241227155906_0247_V.JPG,10.63960242395865,0.11983660608530045,0.6125063896179199
hcm0031,DJI_20241227155754_0205_V.JPG,10.586618053374437,0.11738865822553635,0.5983046889305115
hcm0031,DJI_20241227155850_0237_V.JPG,11.145447409438539,0.1413726657629013,0.5317137241363525
hcm0031,DJI_20241227155730_0189_V.JPG,10.624618454921269,0.13252761960029602,0.6197116374969482
hcm0031,DJI_20241227155546_0114_V.JPG,10.219806554356822,0.09687486290931702,0.6288362145423889
hcm0031,DJI_20241227155740_0199_V.JPG,13.129371907960135,0.19435608386993408,0.3301047682762146
hcm0031,DJI_20241227155345_0025_V.JPG,11.794965216928901,0.142980694770813,0.5054966807365417
hcm0031,DJI_20241227160006_0293_V.JPG,10.412930318475446,0.10841716080904007,0.6335241198539734
hcm0031,DJI_20241227160044_0321_V.JPG,10.085994066911233,0.0970916822552681,0.6226537227630615
hcm0031,DJI_20241227155353_0033_V.JPG,10.268070943165561,0.12909606099128723,0.6527249813079834
hcm0031,DJI_20241227155533_0101_V.JPG,11.7172590039538,0.13517653942108154,0.42327573895454407
hcm0031,DJI_20241227155915_0256_V.JPG,10.245044704060533,0.10667138546705246,0.648796021938324
hcm0031,DJI_20241227155948_0281_V.JPG,11.116770786041357,0.11312343925237656,0.5358006954193115
hcm0031,DJI_20241227155847_0234_V.JPG,10.4448962299413,0.12571726739406586,0.6062417030334473
hcm0031,DJI_20241227155715_0174_V.JPG,9.871330331380811,0.10668262839317322,0.6315036416053772
hcm0031,DJI_20241227155543_0111_V.JPG,10.806643355411957,0.11536068469285965,0.5815989375114441
hcm0031,DJI_20241227155547_0115_V.JPG,11.094032088455457,0.10490726679563522,0.5882418155670166
hcm0031,DJI_20241227155416_0044_V.JPG,10.99034228985613,0.1193026602268219,0.6192432641983032
hcm0031,DJI_20241227155431_0059_V.JPG,10.114480369566238,0.10986883193254471,0.6438165903091431
hcm0031,DJI_20241227155438_0066_V.JPG,11.803384903388086,0.13335324823856354,0.5317362546920776
