scene,image_name,psnr,ssim,lpips
hcm0031,DJI_20241227155343_0023_V.JPG,22.887305991770447,0.7897505760192871,0.12782838940620422
hcm0031,DJI_20241227155809_0220_V.JPG,23.581347850587036,0.7905833125114441,0.1204635351896286
hcm0031,DJI_20241227155927_0264_V.JPG,25.092576487437988,0.8218939900398254,0.11652166396379471
hcm0031,DJI_20241227155339_0019_V.JPG,22.49693944128655,0.771855890750885,0.1289808750152588
hcm0031,DJI_20241227155556_0124_V.JPG,21.911828951814943,0.6924588084220886,0.1825944036245346
hcm0031,DJI_20241227160031_0313_V.JPG,24.06446557628655,0.7917967438697815,0.10717996954917908
hcm0031,DJI_20241227155810_0221_V.JPG,22.51094834840504,0.7827906012535095,0.12634460628032684
hcm0031,DJI_20241227155946_0279_V.JPG,23.33164886268443,0.7833468914031982,0.12492693960666656
hcm0031,DJI_20241227160048_0325_V.JPG,23.047691246513928,0.773535966873169,0.11694012582302094
hcm0031,DJI_20241227155557_0125_V.JPG,21.76334692393122,0.6896396279335022,0.1717485785484314
hcm0031,DJI_20241227155930_0267_V.JPG,23.765261077288454,0.7895355820655823,0.12746024131774902
hcm0031,DJI_20241227155326_0006_V.JPG,22.060459263027717,0.7742024064064026,0.12516216933727264
hcm0031,DJI_20241227155433_0061_V.JPG,19.458413196767072,0.6090631484985352,0.2069038450717926
hcm0031,DJI_20241227155906_0247_V.JPG,23.030441538323526,0.7745153307914734,0.12875871360301971
hcm0031,DJI_20241227155754_0205_V.JPG,22.68091409937327,0.7885803580284119,0.12369641661643982
hcm0031,DJI_20241227155850_0237_V.JPG,23.686067028761776,0.7855854630470276,0.11603610962629318
hcm0031,DJI_20241227155730_0189_V.JPG,25.23234501615503,0.8271133303642273,0.09598571062088013
hcm0031,DJI_20241227155546_0114_V.JPG,20.67244725330635,0.6641228795051575,0.20617340505123138
hcm0031,DJI_20241227155740_0199_V.JPG,25.136913433523482,0.8480769991874695,0.10082685947418213
hcm0031,DJI_20241227155345_0025_V.JPG,23.219066525352666,0.7703425288200378,0.12097854167222977
hcm0031,DJI_20241227160006_0293_V.JPG,23.866189895742814,0.7977990508079529,0.11514369398355484
hcm0031,DJI_20241227160044_0321_V.JPG,22.545425832066037,0.766986072063446,0.12692339718341827
hcm0031,DJI_20241227155353_0033_V.JPG,22.292836826922716,0.7463705539703369,0.12829940021038055
hcm0031,DJI_20241227155533_0101_V.JPG,23.73177942635992,0.8143396377563477,0.13885018229484558
hcm0031,DJI_20241227155915_0256_V.JPG,23.386569806084232,0.7656092047691345,0.12663082778453827
hcm0031,DJI_20241227155948_0281_V.JPG,24.147355898970766,0.8120365142822266,0.11922633647918701
hcm0031,DJI_20241227155847_0234_V.JPG,23.605783516042084,0.7640190124511719,0.11704143136739731
hcm0031,DJI_20241227155715_0174_V.JPG,24.04149117621336,0.8108766674995422,0.10683984309434891
hcm0031,DJI_20241227155543_0111_V.JPG,21.905734653401808,0.726902961730957,0.16733048856258392
hcm0031,DJI_20241227155547_0115_V.JPG,21.420466610170536,0.6953437924385071,0.19683897495269775
hcm0031,DJI_20241227155416_0044_V.JPG,21.049387323463385,0.6575918793678284,0.19520039856433868
hcm0031,DJI_20241227155431_0059_V.JPG,18.80706660130112,0.6070120930671692,0.20205774903297424
hcm0031,DJI_20241227155438_0066_V.JPG,21.825014457217343,0.7277668118476868,0.1793077439069748
hcm0031,DJI_20241227155741_0200_V.JPG,25.577532616622968,0.8490782380104065,0.1006687730550766
hcm0031,DJI_20241227155849_0236_V.JPG,23.384785344020877,0.7677857279777527,0.12685410678386688
hcm0031,DJI_20241227155417_0045_V.JPG,21.3597254314369,0.6638745665550232,0.19245299696922302
hcm0031,DJI_20241227160018_0304_V.JPG,24.41720566002558,0.7965762615203857,0.11222070455551147
hcm0031,DJI_20241227155912_0253_V.JPG,24.67343788424104,0.7887998223304749,0.10046708583831787
hcm0031,DJI_20241227155954_0287_V.JPG,24.218164623024663,0.7957198619842529,0.11063135415315628
hcm0031,DJI_20241227155352_0032_V.JPG,22.402252374060957,0.7441689372062683,0.12914617359638214
hcm0031,DJI_20241227155413_0041_V.JPG,20.7376389380885,0.6293599009513855,0.207225501537323
hcm0031,DJI_20241227155450_0072_V.JPG,22.338554843755922,0.7138727307319641,0.17937247455120087
hcm0031,DJI_20241227155552_0120_V.JPG,22.65900071870022,0.704167366027832,0.17198817431926727
hcm0031,DJI_20241227155545_0113_V.JPG,21.210815327292565,0.6897375583648682,0.1987326741218567
hcm0031,DJI_20241227155536_0104_V.JPG,22.293293005029074,0.7260112762451172,0.1571623980998993
hcm0031,DJI_20241227155753_0204_V.JPG,22.931732530152804,0.7879299521446228,0.12227396667003632
hcm0031,DJI_20241227155914_0255_V.JPG,23.998654486851475,0.785179853439331,0.11460302770137787
hcm0031,DJI_20241227155432_0060_V.JPG,18.635443805004332,0.5846266150474548,0.21463368833065033
hcm0031,DJI_20241227155411_0039_V.JPG,20.574496728700883,0.6353904008865356,0.21008317172527313
hcm0031,DJI_20241227155507_0089_V.JPG,20.52551677426302,0.6930102705955505,0.17422497272491455
hcm0034,DJI_20241230113117_0286_V.JPG,24.233123575518942,0.8109123706817627,0.10774385929107666
hcm0034,DJI_20241230113144_0310_V.JPG,23.92118101661378,0.8054540753364563,0.11275279521942139
hcm0034,DJI_20241230112656_0113_V.JPG,23.05175758113987,0.790852963924408,0.1364685595035553
hcm0034,DJI_20241230112544_0040_V.JPG,19.518088777703465,0.6676730513572693,0.19322457909584045
hcm0034,DJI_20241230113026_0243_V.JPG,24.271033624693377,0.8436910510063171,0.09204627573490143
hcm0034,DJI_20241230113212_0331_V.JPG,23.53366545808196,0.8044198155403137,0.11931832134723663
hcm0034,DJI_20241230112844_0187_V.JPG,21.712890359469995,0.7706727385520935,0.1534014344215393
hcm0034,DJI_20241230113044_0259_V.JPG,24.72028971337233,0.8430160880088806,0.08532561361789703
hcm0034,DJI_20241230112545_0041_V.JPG,19.202639343564883,0.655968189239502,0.19936063885688782
hcm0034,DJI_20241230112508_0007_V.JPG,23.818948698820368,0.834434449672699,0.10935137420892715
hcm0034,DJI_20241230112610_0069_V.JPG,21.051382033788567,0.7448890805244446,0.1631169468164444
hcm0034,DJI_20241230112614_0074_V.JPG,19.17154098692854,0.6681987643241882,0.18833497166633606
hcm0034,DJI_20241230113037_0254_V.JPG,24.144282364108005,0.8194473385810852,0.1004861369729042
hcm0034,DJI_20241230113211_0330_V.JPG,23.36363839213937,0.7885931134223938,0.10628384351730347
hcm0034,DJI_20241230112515_0018_V.JPG,22.834058075835447,0.7903470396995544,0.12427283078432083
hcm0034,DJI_20241230113046_0261_V.JPG,23.855479854479142,0.8269465565681458,0.09642402082681656
hcm0034,DJI_20241230112513_0014_V.JPG,23.402997701134872,0.8185257911682129,0.13900253176689148
hcm0034,DJI_20241230112553_0052_V.JPG,19.14368299217464,0.6782529354095459,0.19559426605701447
hcm0034,DJI_20241230113041_0256_V.JPG,24.25249179896631,0.8232946991920471,0.10049042105674744
hcm0034,DJI_20241230112854_0197_V.JPG,25.12803890174218,0.8663873672485352,0.10374179482460022
hcm0034,DJI_20241230113034_0251_V.JPG,24.543411021452748,0.8249700665473938,0.09396736323833466
hcm0034,DJI_20241230112615_0076_V.JPG,20.407733408324283,0.7243353724479675,0.184910386800766
hcm0034,DJI_20241230112520_0025_V.JPG,22.191250288540303,0.796254575252533,0.11481109261512756
hcm0034,DJI_20241230113042_0257_V.JPG,24.411987280974696,0.8250707983970642,0.11138379573822021
hcm0034,DJI_20241230112504_0001_V.JPG,24.05587770792691,0.8533958792686462,0.09975625574588776
hcm0034,DJI_20241230112550_0048_V.JPG,19.556530746134538,0.6788967251777649,0.18739518523216248
hcm0034,DJI_20241230112707_0129_V.JPG,23.187209363495448,0.8122631907463074,0.0986916571855545
hcm0034,DJI_20241230112616_0078_V.JPG,20.67504985635402,0.7443922162055969,0.15372247993946075
hcm0034,DJI_20241230112745_0143_V.JPG,22.778816541548522,0.789547860622406,0.11825808882713318
hcm0034,DJI_20241230112705_0125_V.JPG,23.26126711864904,0.8124828338623047,0.11627513915300369
hcm0034,DJI_20241230112648_0101_V.JPG,22.042833982244566,0.7827270030975342,0.10869678854942322
hcm0034,DJI_20241230112826_0169_V.JPG,19.3175997408556,0.7033293843269348,0.17919853329658508
hcm0034,DJI_20241230112623_0087_V.JPG,20.705343940449808,0.7397634387016296,0.1517123281955719
hcm0034,DJI_20241230113051_0266_V.JPG,23.797627032342394,0.8161168098449707,0.1007489487528801
hcm0034,DJI_20241230112743_0141_V.JPG,23.461674182268453,0.817744791507721,0.10769767314195633
hcm0034,DJI_20241230112942_0210_V.JPG,24.487871289244012,0.820049524307251,0.11701415479183197
hcm0034,DJI_20241230113202_0325_V.JPG,23.321897045977764,0.7786180377006531,0.13099895417690277
hcm0034,DJI_20241230113107_0278_V.JPG,23.59821806209737,0.813040554523468,0.10812786221504211
hcm0034,DJI_20241230112948_0213_V.JPG,24.543770194488335,0.8467410206794739,0.09518281370401382
hcm0034,DJI_20241230112649_0102_V.JPG,22.28643224033624,0.781822681427002,0.11035233736038208
hcm0034,DJI_20241230113024_0241_V.JPG,24.689194873840655,0.8333489298820496,0.09584112465381622
hcm0034,DJI_20241230112741_0139_V.JPG,23.079552337885996,0.8048478960990906,0.11755076795816422
hcm0034,DJI_20241230112956_0221_V.JPG,24.820249735646932,0.8262073993682861,0.10823266953229904
hcm0034,DJI_20241230112611_0070_V.JPG,19.609616412556235,0.6945168375968933,0.1754070520401001
hcm0034,DJI_20241230113137_0303_V.JPG,23.516468796783247,0.7960435748100281,0.12089943885803223
hcm0034,DJI_20241230113013_0233_V.JPG,25.22636202041992,0.8442474007606506,0.09462197124958038
hcm0034,DJI_20241230113001_0226_V.JPG,24.32542650711514,0.8243177533149719,0.10208721458911896
hcm0034,DJI_20241230112542_0036_V.JPG,20.820861283500232,0.7427409291267395,0.15080606937408447
hcm0034,DJI_20241230112612_0072_V.JPG,19.46571679701794,0.6936712861061096,0.17431892454624176
hcm0034,DJI_20241230112613_0073_V.JPG,19.505376225349792,0.6880403161048889,0.186272531747818
hcm0034,DJI_20241230112658_0116_V.JPG,23.118371757417457,0.8023247122764587,0.10881350189447403
hcm0034,DJI_20241230112540_0033_V.JPG,20.893000590235957,0.7265500426292419,0.14602342247962952
hcm0034,DJI_20241230112621_0085_V.JPG,20.86565510264881,0.7438907623291016,0.14701321721076965
hcm0034,DJI_20241230112543_0038_V.JPG,19.637979664545032,0.6884818077087402,0.18444892764091492
hcm0034,DJI_20241230112847_0190_V.JPG,22.576060430361878,0.7929823994636536,0.13099946081638336
hcm0034,DJI_20241230112649_0103_V.JPG,22.414536523891975,0.7937352061271667,0.10508283227682114
hcm0034,DJI_20241230113014_0234_V.JPG,24.6266312564767,0.8336630463600159,0.10133646428585052
hcm0034,DJI_20241230113111_0282_V.JPG,23.554895870761435,0.8062658309936523,0.10806936025619507
hcm0034,DJI_20241230112609_0068_V.JPG,22.06856099200086,0.7813876271247864,0.14973647892475128
hcm0034,DJI_20241230112546_0042_V.JPG,19.185740220067512,0.670386791229248,0.18154633045196533
HCM0181,DJI_20241229103827_0207_V.JPG,21.80179777728664,0.7857504487037659,0.1280781477689743
HCM0181,DJI_20241229103407_0049_V.JPG,21.643194716119883,0.7566996216773987,0.14949044585227966
HCM0181,DJI_20241229104215_0340_V.JPG,21.759250015724547,0.7124192118644714,0.13074173033237457
HCM0181,DJI_20241229103910_0230_V.JPG,20.890337142679517,0.7634831070899963,0.13482394814491272
HCM0181,DJI_20241229103448_0080_V.JPG,21.374798329933707,0.7582006454467773,0.14174827933311462
HCM0181,DJI_20241229103402_0044_V.JPG,21.82747506349219,0.7468111515045166,0.14890600740909576
HCM0181,DJI_20241229103858_0218_V.JPG,22.658056382790306,0.7922341823577881,0.12917973101139069
HCM0181,DJI_20241229104159_0332_V.JPG,20.86722072321764,0.6917102336883545,0.12155327200889587
HCM0181,DJI_20241229103909_0229_V.JPG,20.127211098157133,0.7330190539360046,0.1522841900587082
HCM0181,DJI_20241229103610_0135_V.JPG,22.519821085789264,0.788337230682373,0.1263793408870697
HCM0181,DJI_20241229103426_0068_V.JPG,20.364270077789676,0.7403497695922852,0.15457619726657867
HCM0181,DJI_20241229103359_0041_V.JPG,22.385372398335004,0.7445080876350403,0.14629630744457245
HCM0181,DJI_20241229103607_0132_V.JPG,22.09895204721647,0.7655617594718933,0.10583395510911942
HCM0181,DJI_20241229103545_0110_V.JPG,22.90651052861058,0.7601218223571777,0.11400309950113297
HCM0181,DJI_20241229104107_0290_V.JPG,21.089412904834916,0.7683354020118713,0.12352398037910461
HCM0181,DJI_20241229104009_0252_V.JPG,21.954178759943645,0.7768755555152893,0.13122040033340454
HCM0181,DJI_20241229103346_0032_V.JPG,20.989356282576793,0.7650006413459778,0.13468171656131744
HCM0181,DJI_20241229104240_0359_V.JPG,21.222234284662925,0.644929826259613,0.14486923813819885
HCM0181,DJI_20241229103601_0126_V.JPG,21.593384081884423,0.7838849425315857,0.11280158162117004
HCM0181,DJI_20241229103914_0234_V.JPG,21.678340824157406,0.7706207633018494,0.13473141193389893
HCM0181,DJI_20241229104217_0342_V.JPG,20.074527096286825,0.6256027221679688,0.15596479177474976
HCM0181,DJI_20241229103404_0046_V.JPG,21.37071987288865,0.7200732231140137,0.1638641208410263
HCM0181,DJI_20241229104054_0283_V.JPG,21.649428591394347,0.7482864856719971,0.11687324941158295
HCM0181,DJI_20241229104026_0261_V.JPG,23.265955304553067,0.8179492950439453,0.1104312464594841
HCM0181,DJI_20241229104028_0263_V.JPG,22.976763451898837,0.7826870083808899,0.10827677696943283
HCM0181,DJI_20241229104247_0366_V.JPG,21.426217091327302,0.7220029234886169,0.13766002655029297
HCM0181,DJI_20241229103440_0072_V.JPG,22.26794629132971,0.7962344288825989,0.1352967470884323
HCM0181,DJI_20241229104008_0251_V.JPG,21.389290785460176,0.7768545150756836,0.1350003182888031
HCM0181,DJI_20241229104013_0256_V.JPG,23.255276083116943,0.8009855151176453,0.12157304584980011
HCM0181,DJI_20241229103609_0134_V.JPG,21.753189561469767,0.7707018852233887,0.11916259676218033
HCM0181,DJI_20241229103809_0189_V.JPG,19.125562844154658,0.7088017463684082,0.16372907161712646
HCM0181,DJI_20241229103855_0215_V.JPG,22.814407539751564,0.792181670665741,0.09946488589048386
HCM0181,DJI_20241229103553_0118_V.JPG,22.044257601343276,0.797942578792572,0.1121717020869255
HCM0181,DJI_20241229104025_0260_V.JPG,23.47806547712991,0.8092411160469055,0.12466109544038773
HCM0181,DJI_20241229103600_0125_V.JPG,21.853806665060638,0.7967235445976257,0.1159931942820549
HCM0181,DJI_20241229103923_0243_V.JPG,23.64788638327807,0.8379073739051819,0.10208071768283844
HCM0181,DJI_20241229103421_0063_V.JPG,21.05211041964335,0.7610332369804382,0.13617433607578278
HCM0181,DJI_20241229103342_0028_V.JPG,20.2258757069141,0.7453173995018005,0.14267368614673615
HCM0181,DJI_20241229103341_0027_V.JPG,20.109768043679445,0.7345150113105774,0.1684560775756836
HCM0181,DJI_20241229103757_0177_V.JPG,22.14149762280427,0.7866227626800537,0.13214287161827087
HCM0181,DJI_20241229104214_0339_V.JPG,21.87731259865957,0.7679024338722229,0.13287770748138428
HCM0181,DJI_20241229104002_0245_V.JPG,22.314523996541713,0.7678849697113037,0.1280118077993393
HCM0181,DJI_20241229103818_0198_V.JPG,21.514411619815448,0.7742195129394531,0.14130158722400665
HCM0181,DJI_20241229103355_0037_V.JPG,20.395998385216206,0.7362425327301025,0.15225276350975037
HCM0181,DJI_20241229103505_0097_V.JPG,21.69858027030091,0.7287912368774414,0.1587052047252655
HCM0181,DJI_20241229104046_0275_V.JPG,23.146997158334234,0.8273151516914368,0.10019101202487946
HCM0181,DJI_20241229103808_0188_V.JPG,19.599065588366525,0.7145645022392273,0.16705232858657837
HCM0181,DJI_20241229104248_0367_V.JPG,21.586094005444558,0.7366684079170227,0.13919459283351898
HCM0181,DJI_20241229103357_0039_V.JPG,21.362171101950103,0.7458736300468445,0.14643816649913788
HCM0181,DJI_20241229103358_0040_V.JPG,22.70401355978215,0.7607243657112122,0.136026531457901
HCM0181,DJI_20241229104030_0265_V.JPG,21.94296402061048,0.7600218653678894,0.12060999870300293
HCM0181,DJI_20241229104241_0360_V.JPG,19.659258813697946,0.6095741391181946,0.1695595234632492
HCM0181,DJI_20241229104006_0249_V.JPG,22.441845589755623,0.7576322555541992,0.11289485543966293
HCM0181,DJI_20241229104258_0370_V.JPG,21.24690740777522,0.7486910820007324,0.14010995626449585
HCM0181,DJI_20241229103917_0237_V.JPG,22.37507626705598,0.790809154510498,0.13312290608882904
HCM0181,DJI_20241229104033_0268_V.JPG,22.427194825909048,0.8024293780326843,0.1212875097990036
HCM0181,DJI_20241229104049_0278_V.JPG,23.19377048967315,0.7999536395072937,0.1270456314086914
HCM0181,DJI_20241229103340_0026_V.JPG,20.145943105823864,0.7188332080841064,0.16409245133399963
HCM0181,DJI_20241229103427_0069_V.JPG,21.482631401706506,0.7605502009391785,0.145906463265419
HCM0181,DJI_20241229103908_0228_V.JPG,21.208526626935353,0.7616413235664368,0.14794676005840302
HCM0193,DJI_20241229173736_0042_V.JPG,20.620513616384518,0.7117614150047302,0.16524860262870789
HCM0193,DJI_20241229173857_0110_V.JPG,23.48864213226178,0.7809305191040039,0.16063407063484192
HCM0193,DJI_20241229173703_0022_V.JPG,24.9397630390758,0.8091142177581787,0.12261322140693665
HCM0193,DJI_20241229173817_0078_V.JPG,20.91728155191439,0.6997528076171875,0.1918869912624359
HCM0193,DJI_20241229174317_0276_V.JPG,24.57293221933806,0.8135862350463867,0.12525567412376404
HCM0193,DJI_20241229173902_0115_V.JPG,22.43601613874398,0.7347061038017273,0.18881040811538696
HCM0193,DJI_20241229173758_0064_V.JPG,19.986841549231734,0.6855179667472839,0.17507483065128326
HCM0193,DJI_20241229174307_0271_V.JPG,26.341210122754404,0.8289646506309509,0.12702476978302002
HCM0193,DJI_20241229173816_0077_V.JPG,20.74739716233364,0.6862537264823914,0.1974988728761673
HCM0193,DJI_20241229174337_0291_V.JPG,24.5807476993286,0.8136484026908875,0.11258722096681595
HCM0193,DJI_20241229173911_0124_V.JPG,21.541403985106815,0.7233567833900452,0.1987466812133789
HCM0193,DJI_20241229173905_0118_V.JPG,21.691159145145832,0.6850942969322205,0.2244962602853775
HCM0193,DJI_20241229174327_0286_V.JPG,24.5121110874681,0.8119375109672546,0.10639837384223938
HCM0193,DJI_20241229174341_0295_V.JPG,24.224121590654562,0.8034303784370422,0.11278938502073288
HCM0193,DJI_20241229174222_0238_V.JPG,24.738996263699427,0.8232019543647766,0.12310990691184998
HCM0193,DJI_20241229173713_0032_V.JPG,25.443449451485247,0.8005222678184509,0.14442142844200134
